TIME;TIME;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
ES416;Segovia;2 328,3;2 425,9;2 634,5;2 809,9;2 964;3 220,8;3 453,9;3 680,7;3 639,1;3 464,4;3 506,7;3 433,7;3 264,7;3 195;3 244,7;3 386,8;3 377,9;3 260,1;3 378;3 482,5;3 163,7;3 646,8;3 977,4;:
ES417;Soria;1 436,7;1 483,8;1 610,9;1 722,6;1 853,9;1 884,4;2 002,5;2 149;2 212,9;2 101,8;2 185,8;2 178,6;2 050,2;2 063,5;2 089,4;2 157,7;2 163,6;2 209,6;2 492,2;2 530,2;2 291,7;2 556,1;2 808;:
ES418;Valladolid;7 985,4;8 545,8;9 082,5;9 522,9;10 152,7;10 939;11 656,2;12 426,5;12 561,3;12 091;12 493,8;12 301,1;11 883,2;11 780,1;11 979,6;12 477,8;13 121,2;13 737,4;14 353,7;14 611,2;13 556;13 949,4;15 187,5;:
ES419;Zamora;2 221,1;2 368,4;2 521,8;2 705,2;2 908,1;2 974,4;3 275,8;3 489,6;3 550,5;3 456,7;3 520,6;3 573,2;3 542,9;3 394,9;3 353,9;3 461,6;3 477,1;3 261,1;3 369,9;3 491;3 204;3 673,7;4 041,2;:
ES421;Albacete;4 356,4;4 795,7;5 217,6;5 438,1;5 802,7;6 260,7;6 734,9;7 104,3;7 511,7;7 493,6;7 476;7 336,1;7 136,9;7 071,7;6 986,5;7 415,3;7 570,4;7 992,9;8 285,3;8 627,2;8 010,4;8 853,5;9 485,9;:
ES422;Ciudad Real;6 136,4;6 503,8;7 039,1;7 731,3;8 325,3;8 715,7;9 412,1;10 269,3;10 626;10 149,2;10 303,9;10 247,3;9 900,4;9 580,4;9 333,1;10 090,7;10 345,5;10 690,2;10 906,7;11 016;10 182,6;10 481;12 157,2;:
ES423;Cuenca;2 435,4;2 592,2;2 727,1;2 935,2;3 265;3 515,6;3 838,4;4 222,9;4 260,3;4 103,5;4 235,3;4 283,1;4 156,8;4 098,2;4 001,5;4 214,1;4 290,1;4 421,1;4 599,8;4 587,8;4 253,7;4 975,1;5 602,4;:
ES424;Guadalajara;2 459,2;2 768,9;3 041;3 310,2;3 542,5;4 001,7;4 319;4 764;5 070,1;4 863,6;4 991,7;5 046,7;4 883,2;4 726;4 501,7;4 519;4 750,6;5 106;5 379,9;5 647,9;5 225,2;5 804,6;6 530,7;:
ES425;Toledo;6 977,3;7 640;8 068,8;8 864;9 340,7;10 563,3;11 690,8;12 859,3;13 318,3;12 745,7;12 429,4;12 143,6;11 566,9;11 434,3;11 314;11 759;12 179,6;12 558,7;13 119,3;13 514,5;12 582,4;14 009,9;15 899,5;:
ES431;Badajoz;6 852,9;7 329,7;7 806;8 379,4;8 780,7;9 822,7;10 428,5;11 325,2;11 921,8;11 591,1;11 631;11 431,1;10 820,2;10 853,8;10 798,7;11 445;11 776,5;12 419,8;12 609,6;12 839;11 979,2;12 729,6;13 543,3;:
ES432;Cáceres;4 258,3;4 576,7;4 890,7;5 194,9;5 728,5;5 953,9;6 398,5;6 811,7;6 920,6;6 779,1;7 021,4;6 842,8;6 759,3;6 752,7;6 766;7 050;7 293;7 749,7;8 103,6;8 327,2;7 518,1;8 822,1;9 597,1;:
ES511;Barcelona;92 612,4;99 802,4;105 375,6;112 641,9;120 114,3;130 230,4;140 279,8;150 182,6;153 912,6;148 013,9;149 085,1;147 153,5;142 976,2;142 239,6;145 147,3;151 999,3;158 516,2;166 618;173 436,3;180 560,2;161 885,1;173 917,4;191 752,6;:
ES512;Girona;10 885,6;12 060,5;13 245;14 267;15 505,6;16 754,3;18 739,1;19 904;20 304,4;19 663,9;19 925,6;19 613,1;19 171,2;18 840,1;19 103,2;19 879,7;20 769,5;20 612,2;21 178,9;22 059,6;19 755,9;23 347,8;26 248,4;:
ES513;Lleida;6 931,8;7 613,3;8 251;8 931;9 417,2;9 694,6;10 817,7;11 636,8;12 149,6;11 949,6;11 977,4;11 908,5;11 815,5;11 917,3;11 995,1;12 512,9;12 160,5;11 803,3;12 191,7;12 766,2;11 635,3;12 954,4;13 716;:
ES514;Tarragona;12 138,9;13 340,1;14 811,5;15 800,6;17 482,6;17 904,6;19 416,7;21 018,7;21 795,3;21 117,9;21 614,1;21 264,1;20 549,8;20 331,9;20 753,9;22 042,4;23 056,4;24 106,2;24 294,4;24 779,8;21 581,1;24 600,6;26 968,7;:
ES521;Alicante/Alacant;20 337;22 403,6;23 955,5;25 787,9;28 045;30 492,7;32 872,9;34 635,1;35 444,2;33 342,9;32 903,5;31 797,6;30 426,2;30 216,2;31 138,7;32 372,3;33 899,1;35 422,9;36 463,6;37 807,9;34 503,4;38 470,1;41 757,3;:
ES522;Castellón/Castelló;8 811,6;9 420,2;9 910;10 422;10 907,7;12 186,3;13 353;13 761,5;13 911;13 252,4;13 333,1;13 533,6;12 669,2;12 619,8;12 734,9;13 628,6;14 223;15 506;15 685,3;16 135,2;14 341,2;15 775,6;17 445,7;:
ES523;Valencia/València;33 620,7;36 749,3;39 503,4;42 025,1;44 839,9;47 646,6;51 864,8;56 440,1;58 595,8;55 394,7;55 633,4;55 056,3;52 740,5;52 274,1;53 382,4;55 213,4;56 083,3;57 737,7;60 600,8;62 645,5;57 222,6;62 141,1;68 387,2;:
ES531;Eivissa y Formentera;1 591,1;1 736,5;1 867,8;1 996;2 117,8;2 304,4;2 530,9;2 719,1;2 873;2 804,1;2 923,8;3 033,4;3 124,5;3 167,7;3 396,2;3 653,6;3 915,9;4 125,1;4 355,9;4 527,6;3 153,4;3 887,5;5 006,3;:
ES532;Mallorca;13 670,8;14 805,8;15 636,4;16 358,3;17 498,6;18 928,9;20 559,5;22 104,6;23 051,3;22 099;22 020;21 809,6;21 372;21 326,9;21 949,8;23 182,5;24 423,5;25 641,6;26 786,3;27 741,2;21 902,3;24 737,5;29 836,7;:
ES533;Menorca;1 243,2;1 325,6;1 408,2;1 513,7;1 612,1;1 728,9;1 845;1 925,8;1 967,8;1 867,3;1 853,2;1 803,3;1 727,8;1 733,3;1 762,6;1 817,6;1 893,9;1 979,6;2 043,8;2 081,8;1 613,4;1 887,1;2 322;:
